ASHA	f
CHAUSIKU	f
ESHE	f
FARAJI	m
FURAHA	f
IMAMU	m
IMANI	unisex
JELANI	m
JENGO	m
JUMAANE	m
KAMARIA	f
KHAMISI	m
KIBWE	m
MARJANI	f
MCHUMBA	f
MOSI	m
MWANAJUMA	f
MWENYE	m
NIA	f
NURU	f
NYAH	f
SANAA	f
SAUDA	f
SEFU	m
SIMBA	m
SUBIRA	f
TENDAJI	m
ZUBERI	m
ZURI	f
